alfa,,Cl,,Cd,,Cm,,Cfx,,naca 0012; Re=6e06; M=0.15,,,
-2,,"-0,216993",,"0,009784",,0.002303971086,,0.002205339102,,,,,
0,,"0,0000",,"0,009647",,7.825467431e-09,,0.009647458623,,,,,
2,,"0,216994",,"0,009784",,-0.002303995472,,0.002205340019,,,,,
4,,"0,432354",,"0,010211",,-0.004809463325,,-0.01997357866,,,,,
6,,"0,644336",,"0,010982",,-0.007707608892,,-0.05642930756,,,,,
8,,"0,851009",,"0,012192",,-0.01115762949,,-0.1063646782,,,,,
10,,"1,049744",,"0,013997",,-0.01531360106,,-0.1685014152,,,,,
12,,"1,236282",,"0,016679",,-0.02034204489,,-0.2407233483,,,,,
14,,"1,403151",,"0,020821",,-0.02619485856,,-0.319250807,,,,,
16,,"1,529737",,"0,028137",,-0.03217152804,,-0.3946058669,,,,,
17,,1.553558581,,0.03501837772,,-0.03424061506,,-0.4207283295,,,,,
18,,,,,,,,,,"1,491717","0,050285",-0.03104680412,-0.4131421067
19,,,,,,,,,,non converge,,,
20,,,,,,,,,,non converge,,,
22,,,,,,,,,,non converge,,,
24,,,,,,,,,,non converge,,,
