alfa,,Cl,,Cd,,Cm,,Cfx,,naca 0012; Re=6e06; M=0.15
-2,,-0.2253246477,,0.005943098879,,0.0005059410183,,-0.001924238297,,
0,,4.684355389e-09,,0.005778237205,,-1.438459058e-08,,0.005778237205,,
2,,0.2253246624,,0.005943101084,,-0.0005059687716,,-0.001924236607,,
4,,0.4482359079,,0.006501391362,,-0.001352706374,,-0.02478180204,,
6,,0.6665936938,,0.007468829537,,-0.002832870958,,-0.06225009993,,
8,,0.880832262,,0.008733511667,,-0.004815049381,,-0.1139396396,,
10,,1.094239826,,0.01002015392,,-0.006716882031,,-0.1801448265,,
12,,1.819362595,,0.0427029285,,-0.02355780565,,-0.5821310288,,
14,,1.509725286,,0.01504951923,,-0.009021599962,,-0.3506331189,,
16,,,,,,,,,,
18,,,,,,,,,,
20,,,,,,,,,,
22,,,,,,,,,,
24,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
