,alfa,cl,la prima colonna sono gli x e la seconda il cp
,0.004466789564828849,1.0277664504170523,
,0.0120536431856694; ,0.05216558934149307,
,0.011703703703703772; ,0.0067679607318164026,
,0.029527544351073826; ,-0.20935848002744128,
,0.05436940208182042; ,-0.32605051316376576,
,0.08419501331396759; ,-0.350793523299547,
,0.09826713591419478; ,-0.39593882244484613,
,0.1528079995530976; ,-0.3730122391070178,
,0.20120230860375338; ,-0.3587802182833251,
,0.2563921568627451; ,-0.35377814963557896,
,0.3001730469965764; ,-0.29999728012579385,
,0.34952989590898087; ,-0.2674815409787294,
,0.40035029262249555; ,-0.2516749140352255,
,0.4501116138763197; ,-0.22911328504902767,
,0.5059021743773762; ,-0.20161172295781282,
,0.5480917107583774; ,-0.15648238668961534,
,0.5982561123214718; ,-0.14677090584560437,
,0.6480359650032852; ,-0.12132926768803565,
,0.6977196804647786; ,-0.08727859936477922,
,"0,7455778007109276;",-0.06141458778584097,
,0.7969140643911884; ,-0.037047810997074326,
,0.8495395787944806;,0.008776680384087965,
,0.9072795933188089; ,0.05781526104417689,
,0.9407930283224399; ,0.0965218920124945,
,,,
