alfa,Cd,Cl,Cm,Cfx,Cfy,
-10,"0,010122","-1,095274","0,006359","-0,180224","-1,080392",
-8,"0,00878","-0,883542","0,004242","-0,114271","-0,876166",
-6,"0,007619","-0,668049","0,0025","-0,062253","-0,665185",
-4,"0,006658","-0,449022","0,00117","-0,02468","-0,448392",
-2,"0,006153","-0,225528","0,000443","-0,001721","-0,225605",
0,"0,005945",0,,,,
2,"0,006153","0,225528",,,,
4,"0,006658","0,449022",,,,
6,"0,007619","0,668049",,,,
8,"0,00878","0,883542",,,,
10,"0,010122","1,095274",,,,
12,"0,011945","1,302014","-0,008679","-0,25902","1,276045",
14,"0,015034","1,507377","-0,009273","-0,35008","1,466239",
16,"0,018795","1,682807","-0,013916","-0,445777","1,622798",
18,"0,02775","1,78933","-0,020883","-0,526542","1,71033",
20,"0,047872","1,761864","-0,0220709","-0,557607","1,67198",
22,,,,,,NC
24,,,,,,NC
