"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.677423628,      -10.11108824,      -10.11732674,       2.786182636,      -10.69611956,       1.856762674,      -1.699684116,                 0,                 0,                 0,     -0.4434446698,       1.796313464,      -1.763448797,                 0,     -0.9154019197,   0.0003649813795
          0,           0,           1,      -3.414574893,   -0.003521278563,      -0.473498241,       2.061154001,       -9.03038195,       1.637947528,      -1.414814977,                 0,                 0,                 0,     -0.3717526508,       1.587573404,      -1.471116654,                 0,     -0.8637730773,   0.0003649813795
          0,           0,           2,       -3.37201026,     -0.1001363168,     -0.8388346478,       2.109937153,      -9.552767671,       1.428498893,      -1.119516894,                 0,                 0,                 0,     -0.2941573395,       1.388558114,      -1.168688807,                 0,     -0.7837016182,   0.0003649813795
          0,           0,           3,      -3.382028003,     -0.1943371354,      -1.104553681,       2.094646152,      -9.855385851,       1.278419484,     -0.9878170119,                 0,                 0,                 0,     -0.2579000604,       1.243166389,      -1.031831457,                 0,     -0.7726861365,   0.0003649813795
          0,           0,           4,      -3.465776797,     -0.2826458858,       -1.04189651,       2.006526984,      -10.02533425,       1.159808508,     -0.9392209335,                 0,                 0,                 0,     -0.2437964643,       1.126323646,     -0.9791255186,                 0,     -0.8098069009,   0.0003649813795
          0,           0,           5,      -3.544316307,     -0.3647609324,      -1.021261992,       1.922731108,      -10.13624621,       1.054975314,     -0.9188005312,                 0,                 0,                 0,     -0.2375937987,       1.022266975,     -0.9550589302,                 0,     -0.8709213564,   0.0003649813795
          0,           0,           6,      -3.592479971,     -0.4405950014,      -1.011707028,        1.86964564,      -10.21645614,      0.9568559581,     -0.9054837231,                 0,                 0,                 0,     -0.2335599989,      0.9246721411,     -0.9383259183,                 0,     -0.9463114228,   0.0003649813795
          0,           0,           7,      -3.614980984,     -0.5091643908,     -0.9907328763,       1.843718417,      -10.27827241,      0.8628175552,     -0.8915139161,                 0,                 0,                 0,     -0.2295139772,       0.831178563,     -0.9210827283,                 0,      -1.033258898,   0.0003649813795
          0,           0,           8,      -3.624885979,     -0.5689444231,     -0.9648451331,       1.831909942,      -10.32815519,       0.772170638,     -0.8733894479,                 0,                 0,                 0,     -0.2244310561,      0.7412194004,     -0.8998057693,                 0,      -1.131083474,   0.0003649813795
          0,           0,           9,      -3.629981007,     -0.6190483296,     -0.9435569644,       1.826228842,      -10.36937297,      0.6852647484,     -0.8491180011,                 0,                 0,                 0,     -0.2176792946,      0.6552135127,     -0.8725161361,                 0,      -1.239109414,   0.0003649813795
          0,           0,          10,      -3.631119569,     -0.6602991315,     -0.9315071219,       1.825675992,      -10.40339788,      0.6029782905,     -0.8173868922,                 0,                 0,                 0,     -0.2087847154,      0.5740845812,      -0.837932601,                 0,      -1.355582622,   0.0003649813795
          0,           0,          11,      -3.625961182,     -0.6952677996,     -0.9297888735,       1.832215638,       -10.4307539,      0.5264022808,      -0.777328384,                 0,                 0,                 0,      -0.197364407,      0.4989532414,     -0.7952260313,                 0,      -1.476681262,   0.0003649813795
          0,           0,          12,      -3.612982665,     -0.7272865006,     -0.9375278038,       1.846728803,      -10.45154319,      0.4566365196,     -0.7284761831,                 0,                 0,                 0,     -0.1831326869,      0.4309348969,     -0.7439687998,                 0,      -1.595308636,   0.0003649813795
          0,           0,          13,      -3.593005628,     -0.7592592262,     -0.9525504455,       1.867879324,      -10.46572498,      0.3946156059,     -0.6707567345,                 0,                 0,                 0,     -0.1659207081,      0.3709661443,     -0.6841200136,                 0,      -1.699772448,   0.0003649813795
          0,           0,          14,      -3.568168084,     -0.7928952606,     -0.9717939922,       1.893435068,      -10.47339074,       0.340942947,      -0.604494709,                 0,                 0,                 0,     -0.1456926632,      0.3196386927,     -0.6160252044,                 0,        -1.7730084,   0.0003649813795
          0,           0,          15,      -3.540607096,     -0.8283040028,     -0.9918291705,       1.921473114,      -10.47508499,      0.2957561647,     -0.5303927917,                 0,                 0,                 0,     -0.1225553478,      0.2770655566,     -0.5403914321,                 0,      -1.793344839,   0.0003649813795
          0,           0,          16,       -3.51222836,      -0.863561459,      -1.009398444,       1.950338023,      -10.47203054,      0.2586837214,     -0.4494957543,                 0,                 0,                 0,    -0.09676019699,      0.2428389627,     -0.4582498653,                 0,      -1.737626751,   0.0003649813795
          0,           0,          17,      -3.485009432,      -0.894461974,      -1.021636897,       1.978172305,      -10.46608669,      0.2289982275,     -0.3631312781,                 0,                 0,                 0,    -0.06869477945,      0.2161856292,     -0.3709019912,                 0,      -1.585738379,   0.0003649813795
          0,           0,          18,      -3.461019919,     -0.9151694074,      -1.025992362,       2.002886193,      -10.45932755,      0.2057746196,     -0.2728621627,                 0,                 0,                 0,    -0.03887566712,      0.1961265151,     -0.2798773731,                 0,      -1.326024381,   0.0003649813795
          0,           0,          19,       -3.44207079,       -0.92092562,      -1.020456327,       2.022578995,      -10.45356879,      0.1880251049,     -0.1804277861,                 0,                 0,                 0,   -0.007930426555,      0.1816137262,     -0.1868798559,                 0,     -0.9595941253,   0.0003649813795
          0,           0,          20,      -3.429297629,      -0.911421953,      -1.004480281,       2.036022675,      -10.44998299,      0.1747670149,     -0.0876818462,                 0,                 0,                 0,      0.0234277727,      0.1716004993,    -0.09372771365,                 0,     -0.5017070655,   0.0003649813795
          0,           0,          21,      -3.422874779,     -0.8911736283,     -0.9797786964,       2.042982836,      -10.44904677,      0.1650746342,    0.003473210828,                 0,                 0,                 0,     0.05443071079,      0.1650952885,   -0.002289926609,                 0,      0.0210402455,   0.0003649813795
          0,           0,          22,      -3.421871861,     -0.8664413404,     -0.9498986548,       2.044377813,      -10.45088309,      0.1581188212,     0.09115344421,                 0,                 0,                 0,     0.08428970221,      0.1612037088,     0.08557964872,                 0,      0.5764869959,   0.0003649813795
