"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.424331498,      -10.10406738,      -10.11783856,       3.039274766,      -10.46157666,       2.747348235,      -1.636435156,                 0,                 0,                 0,     -0.4449435325,       2.688563861,      -1.731319354,                 0,     -0.5956416937,     0.00125423269
          0,           0,           1,       -3.16459742,     0.02181842656,      -0.283209108,       2.307414787,      -9.022943491,       2.449270608,      -1.357672827,                 0,                 0,                 0,     -0.3693455202,       2.400396481,      -1.442324081,                 0,     -0.5543172004,     0.00125423269
          0,           0,           2,      -3.139521789,    -0.08807661055,     -0.6576129998,       2.340123462,      -9.543648254,       2.124900904,       -1.07473554,                 0,                 0,                 0,     -0.2907341456,       2.086098742,      -1.148238813,                 0,     -0.5057814877,     0.00125423269
          0,           0,           3,      -3.150573498,      -0.191300362,     -0.8719446165,       2.324345229,       -9.84548681,       1.924433697,     -0.9506356094,                 0,                 0,                 0,     -0.2546072114,        1.89008468,      -1.017218275,                 0,     -0.4939820014,     0.00125423269
          0,           0,           4,      -3.232855264,     -0.2824840457,     -0.8011235314,       2.238651431,      -10.01327991,       1.782225365,     -0.9054898098,                 0,                 0,                 0,     -0.2407098329,       1.749538543,     -0.9671369782,                 0,     -0.5080669525,     0.00125423269
          0,           0,           5,      -3.312586891,     -0.3627348799,      -0.783636486,       2.155126023,      -10.11878763,       1.657008587,     -0.8865386979,                 0,                 0,                 0,     -0.2345332685,       1.625059427,     -0.9438274082,                 0,     -0.5350235992,     0.00125423269
          0,           0,           6,      -3.362463421,     -0.4312703394,     -0.7730334608,        2.10100056,      -10.19189258,       1.532871639,     -0.8739540744,                 0,                 0,                 0,     -0.2303789197,       1.501437298,     -0.9269181339,                 0,      -0.570141721,     0.00125423269
          0,           0,           7,       -3.38364897,     -0.4846240367,     -0.7477601872,        2.07590073,      -10.24533093,       1.403399176,     -0.8604191911,                 0,                 0,                 0,     -0.2260889345,       1.372516067,     -0.9088729719,                 0,     -0.6130965485,     0.00125423269
          0,           0,           8,      -3.389063121,     -0.5197588409,     -0.7159288961,       2.067457686,      -10.28556403,       1.266082094,      -0.842564766,                 0,                 0,                 0,     -0.2206401919,       1.235905745,     -0.8862371262,                 0,     -0.6654898367,     0.00125423269
          0,           0,           9,      -3.387692606,     -0.5382085356,     -0.6882258916,       2.067006338,      -10.31521653,       1.120746661,      -0.818462097,                 0,                 0,                 0,     -0.2133978163,       1.091500017,     -0.8570770064,                 0,     -0.7302828778,     0.00125423269
          0,           0,          10,      -3.381214758,     -0.5463737182,     -0.6699924788,       2.073136506,      -10.33529913,      0.9688033447,     -0.7868665338,                 0,                 0,                 0,     -0.2038815853,      0.9407519299,     -0.8201979451,                 0,     -0.8122046008,     0.00125423269
          0,           0,          11,      -3.367901225,      -0.551914236,      -0.662903733,       2.087475817,      -10.34625828,      0.8127651943,     -0.7469959974,                 0,                 0,                 0,     -0.1917059431,      0.7862002953,     -0.7749060439,                 0,      -0.919079708,     0.00125423269
          0,           0,          12,       -3.34696872,     -0.5606790526,     -0.6666654463,       2.110182009,       -10.3486569,      0.6559209695,      -0.698502933,                 0,                 0,                 0,     -0.1765826677,      0.6311439994,     -0.7209687356,                 0,      -1.064919351,     0.00125423269
          0,           0,          13,      -3.320092955,     -0.5759313876,     -0.6795572934,       2.138842465,      -10.34347852,      0.5021091749,     -0.6414114482,                 0,                 0,                 0,     -0.1583511888,      0.4794183668,     -0.6585440752,                 0,      -1.277434232,     0.00125423269
          0,           0,          14,       -3.29008757,     -0.5986429356,     -0.6985234433,       2.170262867,      -10.33213924,      0.3555321472,     -0.5761034648,                 0,                 0,                 0,     -0.1369965889,      0.3352098457,     -0.5881604111,                 0,      -1.620397675,     0.00125423269
          0,           0,          15,      -3.259292264,     -0.6276716886,     -0.7193470513,       2.202104484,      -10.31639127,      0.2204888581,     -0.5032870549,                 0,                 0,                 0,     -0.1126635803,      0.2027900774,     -0.5106754162,                 0,      -2.282596314,     0.00125423269
          0,           0,          16,      -3.229253872,     -0.6593096146,     -0.7371959679,       2.232974402,      -10.29827138,      0.1010522557,     -0.4239416259,                 0,                 0,                 0,    -0.08565174117,     0.08619534804,      -0.427210045,                 0,      -4.195271277,     0.00125423269
          0,           0,          17,      -3.201226149,     -0.6865387985,     -0.7475467393,       2.261746676,      -10.27998591,   0.0006911680316,     -0.3392933548,                 0,                 0,                 0,    -0.05641535948,    -0.01115042033,     -0.3391107878,                 0,      -490.8985069,     0.00125423269
          0,           0,          18,      -3.176540943,     -0.7000454582,     -0.7471932318,       2.287136362,      -10.26360226,     -0.0780978643,     -0.2507845261,                 0,                 0,                 0,    -0.02554931042,    -0.08680254293,     -0.2479061788,                 0,       3.211157287,     0.00125423269
          0,           0,          19,      -3.156518635,     -0.6931701464,     -0.7349856196,       2.307810528,      -10.25071928,     -0.1340905535,     -0.1600379559,                 0,                 0,                 0,    0.006234425015,     -0.1395941133,     -0.1552607722,                 0,       1.193506564,     0.00125423269
          0,           0,          20,      -3.142113629,     -0.6673803964,     -0.7120834014,        2.32278258,      -10.24225031,     -0.1675389039,    -0.06881519047,                 0,                 0,                 0,     0.03813927978,     -0.1698384593,    -0.06292624669,                 0,      0.4107415583,     0.00125423269
          0,           0,          21,      -3.133559376,     -0.6308623419,     -0.6815427789,       2.331797524,        -10.238356,     -0.1799259655,     0.02104264472,                 0,                 0,                 0,      0.0693227433,     -0.1790819818,     0.02730915175,                 0,     -0.1169516843,     0.00125423269
          0,           0,          22,      -3.130121791,     -0.5923037323,     -0.6472922238,       2.335598473,      -10.23894141,     -0.1736356509,      0.1076787903,                 0,                 0,                 0,     0.09893879635,     -0.1697719412,      0.1136729921,                 0,     -0.6201421752,     0.00125423269
          0,           0,          23,       -3.12998452,     -0.5573298718,     -0.6130118893,       2.336057542,      -10.24283829,     -0.1516143848,       0.189282579,                 0,                 0,                 0,      0.1261799381,     -0.1449161586,      0.1944585389,                 0,      -1.248447364,     0.00125423269
          0,           0,          24,      -3.130347156,     -0.5285146198,     -0.5814579515,       2.336083604,      -10.24746409,     -0.1171542157,      0.2641403151,                 0,                 0,                 0,      0.1503153962,     -0.1078644845,      0.2680680311,                 0,      -2.254637731,     0.00125423269
          0,           0,          25,      -3.127917298,     -0.5065015359,     -0.5543355803,       2.339103304,      -10.24957184,    -0.07369645627,      0.3306684981,                 0,                 0,                 0,      0.1707219762,    -0.06211139822,       0.333039033,                 0,      -4.486898215,     0.00125423269
          0,           0,          26,      -3.119878351,     -0.4909589058,     -0.5325034998,       2.348018692,      -10.24633658,    -0.02463991215,      0.3874643782,                 0,                 0,                 0,      0.1869057883,    -0.01110259039,      0.3880882659,                 0,      -15.72507141,     0.00125423269
          0,           0,          27,      -3.104960926,     -0.4811986299,     -0.5162767032,       2.364057925,      -10.23629504,     0.02683508452,      0.4333221663,                 0,                 0,                 0,      0.1985132573,     0.04194146282,      0.4321216672,                 0,       16.14759834,     0.00125423269
          0,           0,          28,      -3.083861505,     -0.4765406467,     -0.5056844312,       2.386360025,      -10.21990905,     0.07790145684,      0.4672644739,                 0,                 0,                 0,      0.2053323435,     0.09416129634,      0.4642611074,                 0,       5.998148081,     0.00125423269
          0,           0,          29,      -3.058671034,     -0.4764533346,     -0.5005884828,       2.412643096,      -10.19908813,      0.1261845736,      0.4886221863,                 0,                 0,                 0,      0.2073115662,      0.1431603738,      0.4839207527,                 0,        3.87228147,     0.00125423269
          0,           0,          30,      -3.031844051,     -0.4803791952,     -0.5005796357,       2.440330361,      -10.17496506,      0.1698251192,      0.4970476847,                 0,                 0,                 0,      0.2045388815,      0.1870683804,      0.4908180855,                 0,       2.926820761,     0.00125423269
          0,           0,          31,       -3.00544522,     -0.4871660881,     -0.5045721432,        2.46733226,      -10.14901949,      0.2074982301,      0.4925081969,                 0,                 0,                 0,       0.197214974,       0.224560116,      0.4849665904,                 0,       2.373553724,     0.00125423269
          0,           0,          32,      -2.980919301,     -0.4941400405,     -0.5100884182,       2.492252786,      -10.12274039,      0.2383971015,      0.4752578587,                 0,                 0,                 0,      0.1856217262,      0.2548381365,      0.4666484056,                 0,       1.993555524,     0.00125423269
          0,           0,          33,      -2.959205013,     -0.4963377002,     -0.5125667531,       2.514233958,      -10.09731805,      0.2621804614,      0.4458284846,                 0,                 0,                 0,      0.1701080733,      0.2775799379,      0.4364069318,                 0,       1.700464185,     0.00125423269
          0,           0,          34,      -2.940931809,     -0.4873362866,     -0.5057924624,       2.532716987,      -10.07281895,      0.2788956596,       0.405019473,                 0,                 0,                 0,      0.1510821025,      0.2928607396,      0.3950394279,                 0,       1.452225802,     0.00125423269
          0,           0,          35,      -2.926525848,     -0.4629354561,     -0.4847929806,       2.547299711,      -10.04888519,      0.2888967382,      0.3538865093,                 0,                 0,                 0,      0.1290079119,      0.3010712112,      0.3435885804,                 0,        1.22495848,     0.00125423269
          0,           0,          36,       -2.91615782,     -0.4251155238,     -0.4498175678,       2.557762274,      -10.02508805,      0.2927599699,      0.2937234828,                 0,                 0,                 0,      0.1044042382,      0.3028324302,      0.2833273788,                 0,       1.003291136,     0.00125423269
          0,           0,          37,      -2.909552872,     -0.3812746123,     -0.4068385568,       2.564246973,      -10.00116324,      0.2912091626,      0.2260341635,                 0,                 0,                 0,     0.07784207735,      0.2989202444,      0.2157334164,                 0,       0.776191798,     0.00125423269
          0,           0,          38,      -2.905758542,     -0.3397922025,     -0.3638787841,       2.567507424,      -9.977168481,       0.285047601,      0.1524925648,                 0,                 0,                 0,     0.04993963527,      0.2901958715,      0.1424516526,                 0,      0.5349722791,     0.00125423269
          0,           0,          39,      -2.903047183,     -0.3070153455,     -0.3276064635,       2.569070752,      -9.953629206,      0.2750993072,     0.07489520348,                 0,                 0,                 0,     0.02135362523,       0.277545529,     0.06524875198,                 0,      0.2722478811,     0.00125423269
          0,           0,          40,      -2.899193097,     -0.2869043558,     -0.3024325434,       2.571086371,      -9.931420546,      0.2621618531,   -0.004888516025,                 0,                 0,                 0,   -0.007233102163,      0.2618315444,     -0.0140348548,                 0,    -0.01864693878,     0.00125423269
          0,           0,          41,      -2.892267247,     -0.2817605744,     -0.2910328077,       2.575670251,      -9.911145113,      0.2469738279,    -0.08497704092,                 0,                 0,                 0,    -0.03512715684,      0.2438577221,     -0.0935445375,                 0,     -0.3440730609,     0.00125423269
          0,           0,          42,      -2.881664456,     -0.2928907371,     -0.2950519742,       2.583889713,      -9.893283048,      0.2301951885,     -0.1635200746,                 0,                 0,                 0,    -0.06164283942,      0.2243481915,     -0.1714541588,                 0,     -0.7103540071,     0.00125423269
          0,           0,          43,      -2.868628133,     -0.3208324616,     -0.3155162679,       2.595037963,      -9.878159849,      0.2124029264,     -0.2387387747,                 0,                 0,                 0,    -0.08611754901,      0.2039416732,     -0.2460060967,                 0,      -1.123990044,     0.00125423269
