"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.255873965,      -10.10382589,      -10.11894478,       3.207732299,      -10.21574319,       2.937433783,      -5.833407012,                 0,                 0,                 0,       -1.58993498,       2.096993537,      -6.185448465,                 0,      -1.985885451,    0.001308675332
          0,           0,           1,      -2.975183043,     0.02643469842,    0.004210588628,       2.502815837,      -9.013911986,       1.448134076,      -1.133100895,                 0,                 0,                 0,     -0.1899138915,        1.27634377,      -1.323614945,                 0,     -0.7824557915,    0.001308675332
          0,           0,           2,      -2.883797874,     -0.1004197031,      -0.444510465,       2.588959769,      -9.980060652,       1.252895331,      -1.024170721,                 0,                 0,                 0,     -0.2256841376,       1.098165225,       -1.18857289,                 0,     -0.8174431618,    0.001323705892
          0,           0,           3,      -2.927526808,     -0.1940541277,      -0.586585841,       2.541572012,      -9.965764672,       1.039774375,     -0.8909828676,                 0,                 0,                 0,     -0.1266471935,      0.9056545139,      -1.027020508,                 0,     -0.8569001975,    0.001323705892
          0,           0,           4,      -3.023780889,     -0.2427724658,     -0.5668596825,        2.44307354,      -9.845506398,      0.8699366224,     -0.6458956957,                 0,                 0,                 0,     -0.0497268001,      0.7715791521,     -0.7606816605,                 0,     -0.7424629324,    0.001323705892
          0,           0,           5,      -3.083063014,     -0.2649176734,     -0.5532631671,       2.371717957,      -9.697225136,       0.769054709,     -0.7516170422,                 0,                 0,                 0,    -0.05965051107,      0.6569654469,     -0.8513340855,                 0,     -0.9773258435,      0.0013171272
          0,           0,           6,      -3.120413252,     -0.2592080743,     -0.5396977093,       2.329050419,      -9.561020234,      0.6665102927,     -0.6977199134,                 0,                 0,                 0,    -0.02936659093,      0.5629200164,     -0.7836900554,                 0,      -1.046825414,      0.0013171272
          0,           0,           7,      -3.158068422,     -0.2495697027,     -0.5429245067,       2.288539777,      -9.451058871,      0.5899858948,     -0.7469393712,                 0,                 0,                 0,    -0.03114244928,      0.4802903241,     -0.8217803751,                 0,      -1.266029201,      0.0013171272
          0,           0,           8,      -3.206364197,     -0.2474561458,     -0.5775830336,       2.236445042,      -9.364910127,      0.5185809269,     -0.7382285156,                 0,                 0,                 0,    -0.01859561624,      0.4107925812,     -0.8032166421,                 0,      -1.423555085,      0.0013171272
          0,           0,           9,      -3.241087015,     -0.2490512714,     -0.6331398598,        2.20514622,      -9.299798364,      0.4610380888,     -0.7605499785,                 0,                 0,                 0,    -0.01727387865,      0.3507031989,     -0.8173124589,                 0,      -1.649646736,      0.0013171272
          0,           0,          10,      -3.240574318,     -0.2468807254,     -0.6811713935,       2.216538395,      -9.253961155,      0.4083057218,     -0.7635620556,                 0,                 0,                 0,    -0.01038602612,      0.2980648196,     -0.8129562956,                 0,      -1.870074346,      0.0013171272
          0,           0,          11,      -3.226356024,     -0.2375751657,     -0.6907590273,       2.233537951,      -9.226597442,      0.3639871187,     -0.7731660877,                 0,                 0,                 0,   -0.007713982014,      0.2528408991,     -0.8162989045,                 0,      -2.124157829,      0.0013171272
          0,           0,          12,      -3.235644865,     -0.2249181625,      -0.675834664,       2.222629411,       -9.21706455,      0.3242538343,     -0.7770873896,                 0,                 0,                 0,   -0.003633959756,      0.2129485565,     -0.8146522401,                 0,      -2.396540326,      0.0013171272
          0,           0,          13,      -3.277577603,      -0.215600707,     -0.6674725978,       2.177978764,       -9.22431086,      0.2900663806,     -0.7814028176,                 0,                 0,                 0,   -0.001281520707,      0.1784932213,     -0.8141676968,                 0,       -2.69387585,    0.001549997593
          0,           0,          14,      -3.332839395,     -0.2135592064,     -0.6777613497,       2.121450204,      -9.246851029,      0.2601756399,     -0.7840981995,                 0,                 0,                 0,    0.001011978039,      0.1485182506,     -0.8126768603,                 0,      -3.013726418,    0.001549997593
          0,           0,          15,      -3.368048407,     -0.2172613114,     -0.6982251326,       2.089992296,      -9.282802188,      0.2340093826,     -0.7865196298,                 0,                 0,                 0,    0.002808259221,      0.1222696435,     -0.8114330862,                 0,      -3.361060232,    0.001549997593
          0,           0,          16,      -3.376747384,     -0.2237193186,     -0.7129625877,       2.085817053,      -9.329503873,      0.2110813441,     -0.7891173254,                 0,                 0,                 0,    0.004409178317,     0.09920320974,      -0.810814535,                 0,      -3.738451301,    0.001549997593
          0,           0,          17,      -3.381211986,     -0.2307595015,       -0.71483924,       2.084589211,      -9.385528082,      0.1908596904,     -0.7920829919,                 0,                 0,                 0,    0.005625626439,     0.07876561081,     -0.8109370297,                 0,      -4.150080042,    0.001997287916
          0,           0,          18,      -3.401557547,     -0.2378483049,       -0.71023303,       2.066465526,      -9.449044776,      0.1730126428,     -0.7956765621,                 0,                 0,                 0,    0.006548583325,     0.06059212119,     -0.8120117985,                 0,      -4.598950395,    0.001997287916
          0,           0,          19,      -3.439619993,     -0.2453763923,     -0.7084575105,       2.030366903,      -9.518050369,      0.1572339679,     -0.7995683783,                 0,                 0,                 0,    0.007159582733,     0.04442536705,     -0.8136697727,                 0,      -5.085214023,    0.001997287916
          0,           0,          20,      -3.482247792,     -0.2540834178,     -0.7130780341,       1.989569117,      -9.590832067,      0.1432171115,     -0.8038046336,                 0,                 0,                 0,    0.007515856861,     0.02995534904,     -0.8159140317,                 0,       -5.61249019,    0.002600756443
          0,           0,          21,      -3.512634032,     -0.2641005543,     -0.7217395758,       1.960405893,      -9.664830228,       0.130735973,     -0.8079203726,                 0,                 0,                 0,    0.007743267963,     0.01702287593,     -0.8182526778,                 0,      -6.179786282,    0.002600756443
          0,           0,          22,       -3.52912517,     -0.2749452007,     -0.7304855434,       1.944520813,      -9.737012702,      0.1196075682,     -0.8119849846,                 0,                 0,                 0,    0.007918546896,    0.005437087291,     -0.8207289587,                 0,      -6.788742528,    0.003310051313
          0,           0,          23,      -3.542176579,      -0.285887667,     -0.7373868341,       1.932006496,      -9.802619076,      0.1096380537,     -0.8159025518,                 0,                 0,                 0,    0.008055586362,   -0.004980624546,     -0.8232209121,                 0,      -7.441782524,    0.003295020753
          0,           0,          24,       -3.55979662,     -0.2965123126,     -0.7432138602,       1.915255802,      -9.856049214,      0.1007096947,     -0.8196730343,                 0,                 0,                 0,    0.008096047657,    -0.01434684308,     -0.8257121132,                 0,      -8.138968515,    0.004080149386
          0,           0,          25,      -3.583947921,     -0.3068840406,     -0.7495035539,       1.892372599,      -9.895508551,     0.09270460973,     -0.8232284744,                 0,                 0,                 0,    0.008066108013,    -0.02276884474,     -0.8281188595,                 0,      -8.880124482,    0.004080149386
          0,           0,          26,      -3.612050336,     -0.3172964887,      -0.757114195,       1.865739678,      -9.916318251,     0.08552435801,     -0.8265136259,                 0,                 0,                 0,    0.007981394156,    -0.03033642347,     -0.8303727422,                 0,      -9.664072846,     0.00492689461
          0,           0,          27,       -3.64012313,      -0.327999088,      -0.765997716,       1.839069242,      -9.918739652,     0.07908625156,     -0.8295440097,                 0,                 0,                 0,    0.007868130847,    -0.03713362262,     -0.8324776233,                 0,      -10.48910516,     0.00492689461
          0,           0,          28,      -3.665730077,     -0.3390655519,     -0.7756658155,       1.814651882,      -9.903915975,     0.07329698592,     -0.8323589682,                 0,                 0,                 0,    0.007753289332,    -0.04325831402,     -0.8344594767,                 0,      -11.35597812,     0.00492689461
          0,           0,          29,      -3.688999019,     -0.3504155034,     -0.7857029294,       1.792419265,      -9.879401527,     0.06807537182,     -0.8350391562,                 0,                 0,                 0,    0.007648418625,    -0.04880212182,     -0.8363868732,                 0,      -12.26639141,    0.005829812334
          0,           0,          30,      -3.711491221,     -0.3619071331,      -0.795949589,       1.770980947,       -9.84516496,     0.06335605482,     -0.8376430422,                 0,                 0,                 0,    0.007537150125,    -0.05383790162,     -0.8383086163,                 0,      -13.22119953,    0.005829812334
          0,           0,          31,      -3.734832148,     -0.3734243437,     -0.8064212744,        1.74887625,      -9.805198428,     0.05908530093,     -0.8401792722,                 0,                 0,                 0,    0.007412706322,    -0.05842006783,     -0.8402257898,                 0,      -14.21976801,    0.006787646859
          0,           0,          32,      -3.759847591,     -0.3849140104,      -0.817187605,       1.725365726,      -9.761839307,     0.05521197236,     -0.8426090896,                 0,                 0,                 0,    0.007289031429,    -0.06259386665,     -0.8420928973,                 0,      -15.26134738,    0.006787646859
          0,           0,          33,      -3.786115064,     -0.3963779613,     -0.8282947384,       1.700834564,      -9.715939892,     0.05169436781,     -0.8449116459,                 0,                 0,                 0,    0.007166245027,    -0.06639769203,     -0.8438834894,                 0,      -16.34436558,    0.007091699873
          0,           0,          34,      -3.812392064,     -0.4078488878,     -0.8397315817,        1.67638653,      -9.668075612,     0.04849441782,     -0.8470570389,                 0,                 0,                 0,    0.007048633404,    -0.06986508131,     -0.8455626565,                 0,      -17.46710399,    0.008105045678
          0,           0,          35,      -3.837541044,     -0.4193659143,     -0.8514422102,        1.65300432,      -9.619106836,     0.04558128289,     -0.8490316318,                 0,                 0,                 0,    0.006942286553,    -0.07302467603,     -0.8471126028,                 0,      -18.62676033,    0.008422451808
          0,           0,          36,      -3.861247218,     -0.4309605465,      -0.863362988,       1.630928894,      -9.568549633,     0.04292820194,     -0.8508550896,                 0,                 0,                 0,    0.006848899015,    -0.07590571366,     -0.8485490774,                 0,      -19.82042227,    0.009804403935
          0,           0,          37,      -3.884057186,     -0.4426553213,     -0.8754532197,       1.609654189,       -9.51723122,     0.04050978614,      -0.852557436,                 0,                 0,                 0,    0.006759733321,    -0.07853751442,     -0.8498982781,                 0,      -21.04571555,    0.009804403935
          0,           0,          38,      -3.906874813,     -0.4544679631,     -0.8877017159,       1.588383393,      -9.464835062,     0.03830361627,     -0.8541619041,                 0,                 0,                 0,    0.006667038518,     -0.0809455128,     -0.8511800922,                 0,      -22.29977185,    0.009804403935
          0,           0,          39,      -3.930371566,     -0.4664128073,     -0.9001152516,        1.56654059,      -9.411620733,     0.03628978095,     -0.8556823816,                 0,                 0,                 0,    0.006568815624,    -0.08315135919,     -0.8524055009,                 0,      -23.57915532,     0.01125576081
          0,           0,          40,      -3.954644579,     -0.4784992951,     -0.9127045589,       1.544054692,       -9.35739417,     0.03445020125,     -0.8571326728,                 0,                 0,                 0,    0.006464737295,    -0.08517487775,     -0.8535856579,                 0,      -24.88033863,     0.01125576081
          0,           0,          41,      -3.979256814,     -0.4907314289,      -0.925474423,       1.521307831,      -9.302198181,     0.03276799629,     -0.8585300075,                 0,                 0,                 0,    0.006355646535,    -0.08703518301,     -0.8547352761,                 0,      -26.20025954,     0.01157823806
          0,           0,          42,      -4.003562679,     -0.5031091496,     -0.9384204558,       1.498844248,       -9.24619868,     0.03122706173,     -0.8598932598,                 0,                 0,                 0,    0.006242493318,    -0.08875084934,     -0.8558708047,                 0,        -27.536797,       0.012767151
          0,           0,          43,      -4.027087967,     -0.5156307496,     -0.9515322295,       1.477048517,      -9.189489756,     0.02981246962,     -0.8612375385,                 0,                 0,                 0,     0.00612548844,    -0.09033876218,     -0.8570051278,                 0,      -28.88850033,       0.012767151
          0,           0,          44,      -4.049737796,     -0.5282950412,     -0.9647995289,       1.455982933,      -9.132093166,     0.02851087509,     -0.8625691751,                 0,                 0,                 0,    0.006004893228,    -0.09181301768,     -0.8581426581,                 0,      -30.25404069,       0.012767151
          0,           0,          45,      -4.071747743,     -0.5411021154,     -0.9782176616,       1.435440984,      -9.074318883,     0.02731054918,      -0.863886116,                 0,                 0,                 0,    0.005881685816,    -0.09318494484,     -0.8592797295,                 0,      -31.63195695,       0.012767151
          0,           0,          46,      -4.093469703,     -0.5540531056,     -0.9917902322,       1.415129956,      -9.016097438,     0.02620131507,     -0.8651816324,                 0,                 0,                 0,    0.005757301434,      -0.094463685,     -0.8604082625,                 0,      -33.02054229,     0.01401796476
          0,           0,          47,      -4.115165263,     -0.5671494563,       -1.00552902,       1.394839861,      -8.957490883,     0.02517449802,     -0.8664490407,                 0,                 0,                 0,    0.005633175371,    -0.09565689828,     -0.8615204312,                 0,      -34.41772861,     0.01401796476
          0,           0,          48,      -4.136922818,     -0.5803919952,      -1.019451512,       1.374507195,      -8.898673063,     0.02422261016,     -0.8676841654,                 0,                 0,                 0,    0.005510345204,    -0.09677141857,     -0.8626110585,                 0,      -35.82124964,     0.01401796476
          0,           0,          49,      -4.158699183,      -0.593780062,      -1.033576956,       1.354176334,      -8.839647092,      0.0233390769,     -0.8688857287,                 0,                 0,                 0,    0.005389202323,    -0.09781357864,     -0.8636779643,                 0,      -37.22879583,     0.01401796476
          0,           0,          50,      -4.180411628,     -0.6073111225,      -1.047921471,       1.333920825,      -8.780131501,     0.02251801928,     -0.8700547991,                 0,                 0,                 0,    0.005269585747,    -0.09878934893,     -0.8647213882,                 0,      -38.63815855,     0.01533232707
