alfa,,Cl,,Cd,,Cm,,Cfx,naca 0012; Re=6e06; M=0.15,,,
-2,,"-0,224871",,"0,00901",,"0,000527",,"0,001156",,,,
0,,0,,"0,008873",,0,,"0,008873",,,,
2,,"0,22487",,"0,00901",,"-0,000528",,"0,001157",,,,
4,,"0,448225",,"0,009434",,"-0,001253",,"-0,021856",,,,
6,,"0,668358",,"0,010193",,"-0,002386",,"-0,059724",,,,
8,,"0,883152",,"0,011375",,"-0,004161",,"-0,111647",,,,
10,,"1,089847",,"0,013121",,"-0,006814",,"-0,176328",,,,
12,,"1,284297",,"0,01567",,"-0,010601",,"-0,251692",,,,
14,,"1,459453",,"0,019489",,"-0,015714",,"-0,334163",,,,
16,,"1,600054",,"0,025769",,"-0,021854",,"-0,416264",,,,
17,,"1,643718",,"0,030978",,-0.02476657855,,-0.4509533923,,,,
18,,"1,64007",,"0,03993",,"-0,02611",,"-0,47007",,,,
19,,,,,,,,,div,,,
20,,,,,,,,,div,,,
22,,,,,,,,,div,,,
24,,,,,,,,,div,,,
0,,"0,0000",,0.00868984308,,-4.217366568e-09,,0.00868984308
