"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.267503521,      -15.14690631,      -15.15706728,      -3.721485535,      -10.14370023,     0.01574545531,       1.300556805,      -1.354527135,                 0,                 0,                 0,     -0.3428943594,       1.252492226,      -1.399090771,                 0,      -1.041497864,    0.001442523933
          0,           0,           1,      -4.984604705,      -4.474789448,      -4.530158668,      -4.435824549,       -10.5541898,     0.01574545531,      0.4491945179,     -0.3517151229,                 0,                 0,                 0,    -0.05331072938,      0.4366461999,     -0.3671775302,                 0,     -0.7829906843,    0.001442523933
          0,           0,           2,      -4.930232077,      -4.605138891,      -4.974797737,      -4.376087382,      -11.34946135,     0.01574545531,      0.4172535407,     -0.2663114265,                 0,                 0,                 0,    -0.04873987802,      0.4077052264,     -0.2807111354,                 0,     -0.6382484522,    0.001442523933
          0,           0,           3,      -4.993176632,      -4.700661833,      -5.119420935,      -4.440415684,      -11.63602212,     0.01574545531,      0.3402231016,     -0.2354296804,                 0,                 0,                 0,    -0.03055396391,      0.3317994696,     -0.2471598781,                 0,     -0.6919861682,    0.001442523933
          0,           0,           4,      -5.141428825,      -4.767612171,      -5.151205143,       -4.58937452,      -11.83198108,     0.01574545531,      0.2912747192,      -0.183440489,                 0,                 0,                 0,    -0.01112631173,      0.2846953018,     -0.1934940831,                 0,     -0.6297851373,    0.001442523933
          0,           0,           5,      -5.256597708,      -4.817960513,       -5.19385641,      -4.706152498,      -11.87161252,     0.01574545531,      0.2682258667,     -0.1817046345,                 0,                 0,                 0,    -0.01030143393,      0.2617210704,     -0.1909548927,                 0,     -0.6774314376,    0.001442523933
          0,           0,           6,      -5.375403429,      -4.859392181,      -5.259714117,      -4.826646491,      -11.83428939,     0.01574545531,      0.2489517383,     -0.1863282424,                 0,                 0,                 0,   -0.008434653832,      0.2422973218,     -0.1949030267,                 0,     -0.7484512608,    0.001442523933
          0,           0,           7,      -5.476913759,      -4.893709268,      -5.316790554,      -4.929428836,      -11.77977784,     0.01574545531,       0.232808284,     -0.1860523225,                 0,                 0,                 0,   -0.005608137712,      0.2261733311,     -0.1940638764,                 0,     -0.7991653876,    0.001442523933
          0,           0,           8,      -5.563882015,      -4.923493992,      -5.355658053,      -5.016976191,      -11.72647093,     0.01574545531,      0.2193156575,     -0.1877628663,                 0,                 0,                 0,   -0.004064055924,      0.2126292268,     -0.1953024923,                 0,      -0.856130695,    0.001442523933
          0,           0,           9,      -5.638687991,      -4.949295871,        -5.3788077,      -5.091597956,      -11.67972078,     0.01574545531,      0.2075713814,     -0.1900444033,                 0,                 0,                 0,   -0.002801064566,      0.2008124805,     -0.1971727702,                 0,     -0.9155616832,    0.001442523933
