alfa,,Cl,,Cd,,Cm,,Cf,,,n0012 i=0.000 129x64,"Re=6e6, M=0.15"
-2,,"-0,212968",,"0,01222",,"0,002868",,"0,00478",,,,
0,,0,,"0,01198",,0,,"0,001198",,,,
2,,"0,212968",,"0,01222",,"-0,002868",,"0,00478",,,,
4,,"0,422117",,"0,013013",,"-0,00624",,"-0,016464",,,,
6,,"0,624114",,"0,014502",,"-0,01032",,"-0,050878",,,,
8,,"0,817431",,"0,016904",,"-0,015218",,"-0,097025",,,,
10,,"0,994088",,"0,02066",,"-0,021051",,"-0,152275",,,,
12,,"1,142763",,"0,026992",,"-0,026959",,"-0,211191",,,,
14,,"1,20624",,"0,053377",,"-0,024424",,"-0,249727",,,,
16,,"0,89269",,"0,123423",,"0,030876",,"-0,127417",,,,
18,,,,,,,,,,,,
20,,,,,,,,,,,,
22,,,,,,,,,,,,
24,,,,,,,,,,,,
