alfa,,Cl,,Cd,,Cm,,Cfx,,naca 0012; Re=6e06; M=0.15
-2,,-0.2253246477,,0.005943098879,,0.0005059410183,,-0.001924238297,,
0,,4.684355389e-09,,0.005778237205,,-1.438459058e-08,,0.005778237205,,
2,,0.2253246624,,0.005943101084,,-0.0005059687716,,-0.001924236607,,
4,,0.4482359079,,0.006501391362,,-0.001352706374,,-0.02478180204,,
6,,0.6665936938,,0.007468829537,,-0.002832870958,,-0.06225009993,,
8,,0.880832262,,0.008733511667,,-0.004815049381,,-0.1139396396,,
10,,1.094239826,,0.01002015392,,-0.006716882031,,-0.1801448265,,
12,,1.317541466,,0.01224856536,,-0.00524111441,,-0.2619513691,,
14,,1.509725286,,0.01504951923,,-0.009021599962,,-0.3506331189,,
16,,"1,683532",,"0,018972",,-0.01382185662,,-0.4458073574,,
18,,"1,799612",,"0,027158",,-0.02041979021,,-0.5302822928,,
19,,"1,840014",,"0,032304",,-0.02286796199,,,,
20,,"1,819362",,"0,042703",,-0.02355778231,,-0.5821307822,,
,,,,,,,,,,
17,,,,,,,,,,diverg.
22,,,,,,,,,,diverg.
24,,,,,,,,,,diverg.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
