alfa,,Cl,,Cd,,,Re=6eo6; M=0.15,N grit: 80
-2,,"-0,223368",,"0,008",,,,
"-0,05",,"-0,0126",,"0,00809",,,,
0,,"-0,00724",,"0,008092",,,,
"2,05",,"0,2125",,"0,00816",,,,
4,,"0,427196",,"0,008158",,,,
"4,04",,"0,4316",,"0,00823",,,,
6,,"0,644809",,"0,008823",,,,
"6,09",,"0,6546",,"0,00885",,,,
8,,"0,855625",,"0,010276",,,,
"8,3",,"0,8872",,"0,0105",,,,
10,,"1,058601",,"0,01191",,,,
"10,12",,"1,0707",,"0,01201",,,,
"11,13",,"1,1685",,"0,01239",,,,
12,,"1,24946",,"0,013208",,,,
"12,12",,"1,2605",,"0,01332",,,,
"13,08",,"1,3455",,"0,01503",,,,
14,,"1,418939",,"0,016015",,,,
"14,22",,"1,4365",,"0,01625",,,,
"15,26",,"1,5129",,"0,019",,,,
16,,"1,556304",,"0,021262",,,,
"16,3",,"1,5739",,"0,02218",,,,
"17,13",,"1,6116",,"0,0256",,,,
18,,"1,010518",,"0,184204",,,,
"18,02",,"0,9967",,"0,18785",,,,
"19,8",,"1,1358",,"0,27292",,,,
