alfa,,Cl,,Cd,,Cm,,Cfx,naca 0012; Re=6e06; M=0.15,,,,,
-2,,-0.225086,,0.008698,,,,,,,,,,
0 ,,"0,000",,0.008564,,,,,,,,,,
2,,0.224987,,0.008700,,,,,,,,,,
4,,0.448466,,0.009124,,,,,,,,,,
6,,0.668728,,0.009883,,,,,,,,,,
8,,0.883682,,0.011062,,,,,,,,,,
10,,1.090596,,0.012800,,,,,,,,,,
12,,1.285392,,0.015329,,,,,,,,,,
14,,1.461175,,0.019099,,,,,,,,,,
16,,1.603128,,0.025251,,,,,,,,,,
18,,1.652517,,0.038870,,,,,,,,,,
20,,1.626260,,0.063219,,,,,,,,"CFL=10, mg=0, restart_sol=yes",,
22,,1.374852,,0.124039,,,,,,,,"CFL=10, mg=0, restart_sol=yes",,
24,,1.081492,,0.222291,,,,,,,,"CFL=10, mg=0, restart_sol=yes",,
25,,0.907377,,0.300008,,,,,,,,"CFL=10, mg=0, restart_sol=yes",,
