"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -5.077204792,      -15.47826727,      -15.49716305,      -4.531186807,      -11.10301641,     0.01574597947,       1.224723667,      -1.515243065,                 0,                 0,                 0,      -0.407307907,       1.171096378,       -1.55706226,                 0,      -1.237212202,    0.001551417287
          0,           0,           1,       -5.83226843,       -5.37689908,      -5.426472167,      -5.260050684,      -11.51517037,     0.01574597947,      0.4944264551,     -0.3742019927,                 0,                 0,                 0,    -0.04850002555,      0.4810658027,     -0.3912292734,                 0,      -0.756840555,    0.001551417287
          0,           0,           2,      -5.749611243,      -5.514844129,      -5.887825798,        -5.1924504,      -12.44406147,     0.01574597947,      0.3848980141,     -0.2309299326,                 0,                 0,                 0,    -0.03642842518,      0.3766042062,     -0.2442220033,                 0,     -0.5999769396,    0.001551417287
          0,           0,           3,      -5.852594045,      -5.621510243,      -6.045995836,      -5.296000268,      -12.66953433,     0.01574597947,      0.3350931363,     -0.2377231715,                 0,                 0,                 0,    -0.03171355485,      0.3265925875,     -0.2492729388,                 0,     -0.7094241743,    0.001551417287
          0,           0,           4,      -5.976291238,      -5.690391159,      -6.057759327,      -5.422180579,      -12.75899807,     0.01574597947,      0.2901760101,     -0.1609744765,                 0,                 0,                 0,   -0.004275384702,      0.2843813145,     -0.1710034119,                 0,     -0.5547477079,    0.001551417287
          0,           0,           5,      -6.094161819,      -5.740331121,      -6.119982555,      -5.543246806,      -12.79237092,     0.01574597947,      0.2622727004,     -0.1850368613,                 0,                 0,                 0,    -0.01039662037,      0.2556552376,     -0.1940773271,                 0,      -0.705513235,    0.001551417287
          0,           0,           6,      -6.227632076,      -5.782146078,      -6.205577617,      -5.678957041,      -12.69384303,     0.01574597947,      0.2444065309,     -0.1785071221,                 0,                 0,                 0,   -0.003510833691,      0.2380278363,     -0.1869280453,                 0,     -0.7303696897,    0.001551417287
          0,           0,           7,      -6.330985084,      -5.810109331,      -6.272589009,      -5.785884066,      -12.58192879,     0.01574597947,      0.2266401072,     -0.1889064846,                 0,                 0,                 0,   -0.004057006828,      0.2199093029,     -0.1967010335,                 0,     -0.8335086269,    0.001551417287
          0,           0,           8,      -6.410468328,      -5.831068848,      -6.329840073,       -5.86887659,      -12.48944665,     0.01574597947,      0.2126293594,     -0.1909423229,                 0,                 0,                 0,    -0.00173637563,      0.2058360404,     -0.1982466636,                 0,     -0.8980054468,    0.001551417287
          0,           0,           9,      -6.479469486,      -5.847048927,      -6.390746473,      -5.940331329,      -12.41462347,     0.01574597947,      0.2005475467,     -0.1947719694,                 0,                 0,                 0,   -0.001370584204,      0.1936279349,     -0.2016523281,                 0,     -0.9712009576,    0.001551417287
