"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.379471692,       -3.57390753,      -3.361968463,      -2.832414566,      -10.76240032,     0.01574983121,     0.06861645137,       1.643122737,                 0,                 0,                 0,    -0.02611044483,     -0.4700703076,       1.575942401,                 0,       23.94648373,      0.4665278239
          0,           0,           1,       -3.54269572,       -3.78233293,      -3.530860364,      -2.996924503,       -10.7174476,     0.01574983121,     0.06861645132,       1.643122738,                 0,                 0,                 0,    -0.02611044478,      -0.470070308,       1.575942402,                 0,       23.94648377,      0.4665278239
          0,           0,           2,      -3.658929839,      -3.915885819,      -3.645460879,      -3.112614089,      -10.64887347,     0.01574983121,     0.06861645131,        1.64312274,                 0,                 0,                 0,    -0.02611044475,     -0.4700703087,       1.575942404,                 0,        23.9464838,      0.4665278239
          0,           0,           3,      -3.711238799,       -3.94675035,      -3.689044658,      -3.163731701,      -10.55630335,     0.01574983121,     0.06861645131,       1.643122742,                 0,                 0,                 0,    -0.02611044473,     -0.4700703094,       1.575942406,                 0,       23.94648383,      0.4665278239
          0,           0,           4,      -3.728448229,      -3.948512128,      -3.701924847,      -3.180669856,      -10.45136187,     0.01574983121,     0.06861645132,       1.643122744,                 0,                 0,                 0,    -0.02611044474,     -0.4700703101,       1.575942408,                 0,       23.94648387,      0.4665278239
          0,           0,           5,      -3.741606323,      -3.962555066,      -3.717087219,       -3.19423513,      -10.34757956,     0.01574983121,     0.06861645131,       1.643122747,                 0,                 0,                 0,    -0.02611044477,     -0.4700703109,        1.57594241,                 0,        23.9464839,      0.4665278239
          0,           0,           6,       -3.76268601,      -3.991453428,      -3.742435966,      -3.215834721,      -10.25136254,     0.01574983121,     0.06861645129,       1.643122749,                 0,                 0,                 0,    -0.02611044481,     -0.4700703117,       1.575942413,                 0,       23.94648394,      0.4665278239
          0,           0,           7,      -3.792862647,      -4.026334029,      -3.774489868,      -3.246386346,      -10.16430376,     0.01574983121,     0.06861645126,       1.643122751,                 0,                 0,                 0,    -0.02611044487,     -0.4700703125,       1.575942415,                 0,       23.94648399,      0.4665278239
          0,           0,           8,      -3.829225494,      -4.056722357,       -3.80656137,       -3.28294423,      -10.08587473,     0.01574983121,     0.06861645121,       1.643122754,                 0,                 0,                 0,    -0.02611044495,     -0.4700703133,       1.575942417,                 0,       23.94648404,      0.4665278239
          0,           0,           9,      -3.867393188,      -4.076176083,      -3.833068351,      -3.321217112,      -10.01485307,     0.01574983121,     0.06861645114,       1.643122756,                 0,                 0,                 0,    -0.02611044503,     -0.4700703141,       1.575942419,                 0,        23.9464841,      0.4665278239
          0,           0,          10,       -3.90296607,      -4.085203997,      -3.852175801,      -3.356939685,      -9.950020502,     0.01574983121,     0.06861645105,       1.643122759,                 0,                 0,                 0,    -0.02611044513,      -0.470070315,       1.575942422,                 0,       23.94648417,      0.4665278239
          0,           0,          11,      -3.932983787,      -4.088824491,      -3.865709526,      -3.387233522,      -9.890471683,     0.01574983121,     0.06861645093,       1.643122761,                 0,                 0,                 0,    -0.02611044524,     -0.4700703159,       1.575942424,                 0,       23.94648424,      0.4665278239
          0,           0,          12,      -3.956961111,      -4.092021062,      -3.876807633,      -3.411578707,      -9.835381208,     0.01574983121,      0.0686164508,       1.643122763,                 0,                 0,                 0,    -0.02611044535,     -0.4700703168,       1.575942426,                 0,       23.94648432,      0.4665278239
          0,           0,          13,      -3.976646034,      -4.097474837,      -3.887752074,      -3.431603267,      -9.784111508,     0.01574983121,     0.06861645065,       1.643122766,                 0,                 0,                 0,    -0.02611044547,     -0.4700703177,       1.575942428,                 0,       23.94648441,      0.4665278239
          0,           0,          14,      -3.994688843,      -4.105643416,       -3.89927073,      -3.449840573,      -9.736188513,     0.01574983121,     0.06861645048,       1.643122768,                 0,                 0,                 0,    -0.02611044559,     -0.4700703186,        1.57594243,                 0,        23.9464845,      0.4665278239
          0,           0,          15,      -4.013303105,      -4.115645529,      -3.910923213,      -3.468447137,      -9.691184528,     0.01574983121,      0.0686164503,        1.64312277,                 0,                 0,                 0,     -0.0261104457,     -0.4700703196,       1.575942433,                 0,        23.9464846,      0.4665278239
          0,           0,          16,      -4.033607885,      -4.126132981,      -3.921854552,      -3.488548395,      -9.648801578,     0.01574983121,      0.0686164501,       1.643122773,                 0,                 0,                 0,     -0.0261104458,     -0.4700703206,       1.575942435,                 0,       23.94648471,      0.4665278239
          0,           0,          17,      -4.055608501,      -4.135929143,      -3.931450368,      -3.510199725,      -9.608769599,     0.01574983121,      0.0686164499,       1.643122775,                 0,                 0,                 0,    -0.02611044587,     -0.4700703216,       1.575942437,                 0,       23.94648481,      0.4665278239
          0,           0,          18,      -4.078530581,      -4.144365866,      -3.939643401,      -3.532699521,      -9.570875347,     0.01574983121,     0.06861644969,       1.643122778,                 0,                 0,                 0,    -0.02611044592,     -0.4700703226,       1.575942439,                 0,       23.94648492,      0.4665278239
          0,           0,          19,      -4.101300136,      -4.151314226,        -3.9468382,      -3.555049761,      -9.534933626,     0.01574983121,     0.06861644947,        1.64312278,                 0,                 0,                 0,    -0.02611044593,     -0.4700703236,       1.575942442,                 0,       23.94648504,      0.4665278239
          0,           0,          20,      -4.123019565,      -4.157003377,      -3.953619625,      -3.576412642,      -9.500793394,     0.01574983121,     0.06861644925,       1.643122783,                 0,                 0,                 0,     -0.0261104459,     -0.4700703247,       1.575942444,                 0,       23.94648515,      0.4665278239
          0,           0,          21,      -4.143280252,      -4.161787408,      -3.960471081,      -3.596409059,      -9.468868337,     0.01574983121,     0.06861644902,       1.643122786,                 0,                 0,                 0,    -0.02611044583,     -0.4700703257,       1.575942446,                 0,       23.94648527,      0.4665278239
          0,           0,          22,      -4.162197283,      -4.165984408,      -3.967634242,      -3.615152332,      -9.442050729,     0.01574983121,     0.06861644879,       1.643122788,                 0,                 0,                 0,    -0.02611044571,     -0.4700703268,       1.575942449,                 0,       23.94648539,      0.4665278239
          0,           0,          23,      -4.180193268,      -4.169823995,       -3.97511746,      -3.633044469,      -9.421886045,     0.01574983121,     0.06861644856,       1.643122791,                 0,                 0,                 0,    -0.02611044554,     -0.4700703279,       1.575942451,                 0,       23.94648551,      0.4665278239
          0,           0,          24,      -4.197690138,      -4.173470825,      -3.982790707,      -3.650484827,      -9.403526551,     0.01574983121,     0.06861644832,       1.643122794,                 0,                 0,                 0,    -0.02611044531,      -0.470070329,       1.575942454,                 0,       23.94648563,      0.4665278239
          0,           0,          25,      -4.214879741,      -4.177070553,      -3.990495444,      -3.667652155,      -9.386037713,     0.01574983121,     0.06861644808,       1.643122796,                 0,                 0,                 0,    -0.02611044503,     -0.4700703301,       1.575942456,                 0,       23.94648575,      0.4665278239
          0,           0,          26,      -4.231657493,      -4.180779121,      -3.998120088,      -3.684440536,      -9.368598327,     0.01574983121,     0.06861644785,       1.643122799,                 0,                 0,                 0,     -0.0261104447,     -0.4700703312,       1.575942459,                 0,       23.94648588,      0.4665278239
          0,           0,          27,      -4.247707359,      -4.184762451,      -4.005623999,       -3.70053944,      -9.351290966,     0.01574983121,     0.06861644762,       1.643122802,                 0,                 0,                 0,    -0.02611044429,     -0.4700703324,       1.575942461,                 0,       23.94648599,      0.4665278239
          0,           0,          28,      -4.262668002,      -4.189174743,       -4.01302061,      -3.715592036,      -9.333565396,     0.01574983121,     0.06861644741,       1.643122805,                 0,                 0,                 0,    -0.02611044383,     -0.4700703335,       1.575942464,                 0,       23.94648611,      0.4665278239
          0,           0,          29,      -4.276290902,      -4.194132172,      -4.020344487,       -3.72934716,      -9.315335669,     0.01574983121,     0.06861644721,       1.643122808,                 0,                 0,                 0,    -0.02611044328,     -0.4700703346,       1.575942467,                 0,       23.94648622,      0.4665278239
          0,           0,          30,      -4.288519051,        -4.1996961,       -4.02762499,      -3.741736593,      -9.296653661,     0.01574983121,     0.06861644704,        1.64312281,                 0,                 0,                 0,    -0.02611044266,     -0.4700703357,       1.575942469,                 0,       23.94648632,      0.4665278239
          0,           0,          31,      -4.299463763,      -4.205871857,      -4.034877291,      -3.752855371,      -9.277763087,     0.01574983121,      0.0686164469,       1.643122813,                 0,                 0,                 0,    -0.02611044197,     -0.4700703368,       1.575942472,                 0,       23.94648641,      0.4665278239
          0,           0,          32,      -4.309312408,      -4.212621255,      -4.042108825,      -3.762875253,       -9.25863672,     0.01574983121,     0.06861644679,       1.643122816,                 0,                 0,                 0,    -0.02611044118,     -0.4700703378,       1.575942475,                 0,        23.9464865,      0.4665278239
          0,           0,          33,      -4.318227284,       -4.21988244,      -4.049332032,      -3.771948327,      -9.239353768,     0.01574983121,     0.06861644671,       1.643122819,                 0,                 0,                 0,    -0.02611044032,     -0.4700703389,       1.575942478,                 0,       23.94648657,      0.4665278239
          0,           0,          34,      -4.326284842,      -4.227589762,      -4.056573936,      -3.780148068,      -9.220125543,     0.01574983121,     0.06861644667,       1.643122822,                 0,                 0,                 0,    -0.02611043938,     -0.4700703399,       1.575942481,                 0,       23.94648663,      0.4665278239
          0,           0,          35,      -4.333471902,      -4.235688243,      -4.063877439,      -3.787464478,      -9.201070271,     0.01574983121,     0.06861644666,       1.643122826,                 0,                 0,                 0,    -0.02611043836,      -0.470070341,       1.575942484,                 0,       23.94648668,      0.4665278239
          0,           0,          36,      -4.339725415,      -4.244140364,      -4.071294651,      -3.793840992,       -9.18228611,     0.01574983121,     0.06861644668,       1.643122829,                 0,                 0,                 0,    -0.02611043727,      -0.470070342,       1.575942487,                 0,       23.94648672,      0.4665278239
          0,           0,          37,      -4.344987351,      -4.252925928,      -4.078876308,      -3.799226127,      -9.163898173,     0.01574983121,     0.06861644672,       1.643122832,                 0,                 0,                 0,    -0.02611043614,      -0.470070343,        1.57594249,                 0,       23.94648675,      0.4665278239
          0,           0,          38,      -4.349247774,      -4.262037657,      -4.086662044,      -3.803614098,      -9.146038633,     0.01574983121,     0.06861644677,       1.643122835,                 0,                 0,                 0,    -0.02611043495,     -0.4700703441,       1.575942493,                 0,       23.94648678,      0.4665278239
          0,           0,          39,      -4.352561641,      -4.271475488,      -4.094674699,      -3.807060564,      -9.128609114,     0.01574983121,     0.06861644684,       1.643122839,                 0,                 0,                 0,    -0.02611043374,     -0.4700703451,       1.575942496,                 0,        23.9464868,      0.4665278239
