"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.424331494,      -10.11228908,      -10.11988456,        3.03927477,      -10.33010805,       2739.987631,       2.241155291,       1.554243031,                 0,                 0,                 0,       0.404829977,        2.18554774,       1.631511419,                 0,      0.6935008195,    0.001252538931
          0,           0,           1,      -3.081146443,      0.0195121636,     -0.2480797111,       2.387452807,      -9.020292653,       2739.987631,       1.305185307,      0.3376531007,                 0,                 0,                 0,     0.06561254343,       1.292606301,      0.3829977219,                 0,      0.2587012731,    0.001252538931
          0,           0,           2,      -3.093052642,     -0.1073725451,     -0.7341476156,       2.375062289,       -10.0599395,       2739.987631,       1.137848966,      0.1989690811,                 0,                 0,                 0,     0.03502429261,       1.130211898,      0.2385582308,                 0,      0.1748642281,    0.001252538931
          0,           0,           3,      -3.133748633,     -0.2107688879,     -0.8237553655,       2.329992592,      -10.22241447,       2739.987631,      0.9630345037,      0.2366524262,                 0,                 0,                 0,     0.03822989259,      0.9541887985,      0.2701176834,                 0,      0.2457361863,    0.001252538931
          0,           0,           4,      -3.264928791,     -0.2975403668,     -0.8570683675,       2.196900016,       -10.2586324,       2739.987631,      0.8312803013,       0.160452647,                 0,                 0,                 0,     0.01173025608,      0.8251741912,      0.1893661677,                 0,      0.1930187047,    0.001252538931
          0,           0,           5,      -3.395120791,     -0.3686277539,     -0.9265420265,       2.065607968,      -10.14341436,       2739.987631,      0.7247098943,      0.1790616815,                 0,                 0,                 0,     0.01463748154,      0.7180192581,      0.2042446125,                 0,      0.2470804978,    0.001252538931
          0,           0,           6,      -3.497187238,     -0.4288467622,     -0.9788075858,        1.96122568,      -10.02500701,       2739.987631,      0.6362946091,      0.1740900117,                 0,                 0,                 0,    0.008218060694,      0.6298313418,      0.1961903224,                 0,      0.2735996961,    0.001252538931
          0,           0,           7,      -3.578879107,     -0.4804129528,      -1.021789559,       1.880208191,      -9.922310942,       2739.987631,      0.5611943854,      0.1772868819,                 0,                 0,                 0,    0.006457339657,      0.5546652979,      0.1967642851,                 0,      0.3159099352,    0.001252538931
          0,           0,           8,      -3.657803901,     -0.5232298029,      -1.070060171,        1.80230014,      -9.836093462,       2739.987631,      0.4967989305,      0.1823389521,                 0,                 0,                 0,    0.004528648237,      0.4901327564,      0.1995659088,                 0,      0.3670276663,    0.001252538931
          0,           0,           9,      -3.730054381,      -0.559340979,      -1.124982599,       1.731296376,      -9.767695311,       2739.987631,      0.4416048698,      0.1844955346,                 0,                 0,                 0,    0.002987960717,      0.4348970548,      0.1997949326,                 0,      0.4177841939,    0.001252538931
          0,           0,          10,      -3.770811613,     -0.5887368053,      -1.180612824,        1.69256091,       -9.71658555,       2739.987631,      0.3933286234,      0.1888632185,                 0,                 0,                 0,    0.002109393005,       0.386497787,      0.2024751391,                 0,      0.4801664746,    0.001252538931
          0,           0,          11,      -3.775314059,     -0.6110480774,      -1.215027058,       1.689805216,       -9.68178079,       2739.987631,      0.3510044324,      0.1906867202,                 0,                 0,                 0,   0.0008663166924,      0.3441357394,       0.202820437,                 0,      0.5432601488,    0.001252538931
          0,           0,          12,      -3.760960843,     -0.6261756732,       -1.21849433,       1.705080086,      -9.662809316,       2739.987631,      0.3140683613,      0.1930766952,                 0,                 0,                 0,   0.0002124337811,      0.3071387598,      0.2039199059,                 0,      0.6147600938,    0.001252538931
          0,           0,          13,      -3.767574703,     -0.6369066109,      -1.206561815,       1.699264648,      -9.659105634,       2739.987631,       0.281442016,      0.1945706733,                 0,                 0,                 0,  -0.0004952121512,      0.2744801505,      0.2042743308,                 0,      0.6913348479,    0.001252538931
          0,           0,          14,      -3.799622404,     -0.6451675182,       -1.20000874,       1.668353133,      -9.669894149,       2739.987631,      0.2527916995,      0.1960611604,                 0,                 0,                 0,   -0.000908627171,      0.2457952698,      0.2047640283,                 0,      0.7755838533,    0.001252538931
