alfa,Cl,,
,,-4.19972,-0.422627
-2.0,-0.2183706673063472,,
-1.96944,-0.215533,,
0.0,0.0,,
0.940006,0.120611,,
1.96944,0.215533,,
2.0,0.21938348670676897,,
2.99515,0.34477,,
3.85131,0.439599,,
4.0,0.45581689903364253,,
4.87888,0.551678,,
5.99831,0.6466,,
6.0,0.6467927725720682,,
7.96346,0.870758,,
8.0,0.8748621418558258,,
10.0,1.12000,,
10.1891,1.12074,,
11.0471,1.19842,,
12.0,1.2742656079934034,,
13.1088,1.36252,,
14.0,1.4261841572036362,,
16.0,1.5900,,
16.3759,1.59591,,
16.5678,1.42443,,
17.2971,1.09024,,
,,,
