alfa,,Cl,,Cd,,,naca 0012; Re=6e06; M=0.15
-2,,"-0,2150",,"0,00650",,,
0,,"-0,00134",,"0,00650",,,
"0,05",,"0,0040",,"0,00650",,,
"1,98",,"0,2080",,"0,00680",,,
2,,"0,2082",,"0,00680",,,
4,,"0,432",,"0,00753",,,
"4,18",,"0,4520",,"0,00760",,,
6,,"0,642",,"0,00688",,,
"6,20",,"0,6630",,"0,00680",,,
8,,"0,840",,"0,00787",,,
"8,22",,"0,8800",,"0,00800",,,
10,,"1,035",,"0,01050",,,
"10,18",,"1,0880",,"0,01050",,,
"11,08",,"1,1800",,"0,01140",,,
12,,"1,268",,"0,01227",,,
"12,25",,"1,2920",,"0,01250",,,
"13,10",,"1,3680",,"0,01300",,,
14,,"1,437",,"0,01544",,,
"14,28",,"1,4580",,"0,01620",,,
"15,20",,"1,5280",,"0,01870",,,
16,,"1,579",,"0,02123",,,
"16,18",,"1,5900",,"0,02180",,,
"16,90",,"1,6180",,"0,02440",,,
"17,35",,"1,6600",,"0,02750",,,
"17,65",,"1,6450",,,,,
18,,"1,4210",,,,,
"18,65",,"1,0050",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
