"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -3.891851758,      -6.731056205,      -7.119637444,      -3.345841158,       -9.84556164,     0.01574667084,        1.46073967,       2.908766105,                 0,                 0,                 0,       1.032400837,       1.201665444,       3.025009223,                 0,       1.991296715,   0.0008226101911
          0,           0,           1,      -4.896491482,      -4.178174951,      -4.144746117,      -4.333270334,      -10.27244349,     0.01574667084,      0.6740239895,       1.510023886,                 0,                 0,                 0,      0.4241838674,      0.5398518715,        1.56302285,                 0,       2.240311783,   0.0008226101911
          0,           0,           2,      -4.548340466,      -4.307918968,      -4.580143414,      -3.994867801,      -11.19776076,     0.01574667084,      0.4784213757,       1.039816066,                 0,                 0,                 0,      0.2263121904,      0.3859748964,       1.077556422,                 0,       2.173431454,   0.0008226101911
          0,           0,           3,      -4.612263943,      -4.399859483,      -4.783796218,      -4.060712645,      -11.57642354,     0.01574667084,       0.375500177,      0.8332030522,                 0,                 0,                 0,      0.1259822206,      0.3014528546,      0.8627594599,                 0,       2.218915205,   0.0008226101911
          0,           0,           4,      -4.770367317,       -4.47115555,      -4.820795676,      -4.219680958,      -11.88064561,     0.01574667084,      0.3193899606,      0.7532683302,                 0,                 0,                 0,     0.08299748836,      0.2525229245,      0.7782385861,                 0,       2.358459636,   0.0008226101911
          0,           0,           5,      -4.898870397,      -4.529688161,      -4.840444297,      -4.349955244,      -12.05431371,     0.01574667084,      0.2842502883,      0.7244801568,                 0,                 0,                 0,     0.06402020816,      0.2200260239,       0.746497336,                 0,       2.548740271,   0.0008226101911
          0,           0,           6,      -5.026624356,      -4.582487233,      -4.890858083,      -4.479639676,      -12.13858923,     0.01574667084,      0.2598912343,      0.7173664138,                 0,                 0,                 0,     0.05561777033,      0.1963796671,      0.7372876316,                 0,       2.760256288,   0.0008226101911
          0,           0,           7,      -5.135329791,      -4.631443854,      -4.935580607,      -4.590083998,      -12.16027387,     0.01574667084,      0.2413436375,      0.7178847665,                 0,                 0,                 0,     0.05175361944,       0.177857472,      0.7361874822,                 0,       2.974533632,   0.0008226101911
          0,           0,           8,      -5.230220841,      -4.677231587,      -4.972713427,      -4.686380962,      -12.18071679,     0.01574667084,      0.2259950901,      0.7194764692,                 0,                 0,                 0,     0.04950356837,      0.1624286045,       0.736435414,                 0,       3.183593364,   0.0008226101911
          0,           0,           9,      -5.317969431,       -4.72003367,      -5.004632352,      -4.775339071,      -12.19081866,     0.01574667084,      0.2126403059,      0.7208068286,                 0,                 0,                 0,     0.04782947954,      0.1490086908,      0.7365967648,                 0,       3.389793979,   0.0008226101911
